"shipment_id","shipment_date","lane_id","carrier_name","quoted_cost","actual_cost","cost_leakage_amount","leakage_pct"
"SH000149","2024-04-07","L010","Velocity Haul","5110.38","6661.24","1550.86","30.35"
"SH000762","2024-08-31","L006","Apex Freight","5793.32","6911.27","1117.95","19.30"
"SH000975","2024-09-09","L010","Apex Freight","5289.91","6399.45","1109.54","20.97"
"SH003787","2026-02-17","L010","Apex Freight","4941.45","6013.96","1072.51","21.70"
"SH001467","2024-12-15","L010","Velocity Haul","5159.89","6223.34","1063.45","20.61"
"SH001138","2024-10-22","L010","Velocity Haul","5095.85","6141.26","1045.41","20.51"
"SH001136","2024-10-31","L010","Titan Logistics","5908.62","6950.82","1042.20","17.64"
"SH001795","2025-02-08","L010","BlueRoute Transport","5189.01","6210.25","1021.24","19.68"
"SH003738","2026-02-23","L006","Velocity Haul","6204.89","7197.15","992.26","15.99"
"SH001751","2025-02-23","L006","Velocity Haul","5860.01","6852.07","992.06","16.93"
"SH001975","2025-03-12","L010","Apex Freight","5268.03","6240.79","972.76","18.47"
"SH002638","2025-07-04","L010","Velocity Haul","5582.16","6550.48","968.32","17.35"
"SH002311","2025-05-01","L010","BlueRoute Transport","5442.28","6382.63","940.35","17.28"
"SH000585","2024-07-15","L006","Titan Logistics","6714.53","7611.91","897.38","13.36"
"SH003638","2026-01-26","L010","Velocity Haul","5324.20","6211.14","886.94","16.66"
"SH003456","2025-12-30","L010","Velocity Haul","5298.72","6177.94","879.22","16.59"
"SH001416","2024-12-23","L006","Titan Logistics","6718.80","7593.92","875.12","13.02"
"SH003076","2025-10-24","L006","Titan Logistics","6962.49","7818.99","856.50","12.30"
"SH000586","2024-07-11","L006","Titan Logistics","6417.30","7245.97","828.67","12.91"
"SH000931","2024-09-01","L006","Apex Freight","5437.99","6259.97","821.98","15.12"
