"shipment_id","shipment_date","lane_id","carrier_name","quoted_cost","actual_cost","cost_leakage_amount","leakage_pct"
"SH002297","2025-05-06","L010","BlueRoute Transport","5301.42","6215.42","914.00","17.24"
"SH001136","2024-10-17","L010","Apex Freight","5079.37","5982.22","902.85","17.77"
"SH003152","2025-11-20","L002","Velocity Haul","3734.66","4635.50","900.84","24.12"
"SH001294","2024-11-16","L010","Apex Freight","5320.58","6191.65","871.07","16.37"
"SH001582","2025-01-23","L006","Titan Logistics","6957.74","7796.73","838.99","12.06"
"SH002411","2025-06-28","L006","BlueRoute Transport","6323.04","7136.81","813.77","12.87"
"SH001586","2025-01-26","L006","BlueRoute Transport","6231.22","7034.19","802.97","12.89"
"SH001632","2025-01-16","L010","Velocity Haul","5556.87","6348.79","791.92","14.25"
"SH003419","2025-12-02","L010","Velocity Haul","5450.11","6222.35","772.24","14.17"
"SH003063","2025-10-28","L006","Apex Freight","5895.92","6665.35","769.43","13.05"
"SH000103","2024-04-30","L006","Velocity Haul","5825.69","6577.89","752.20","12.91"
"SH003101","2025-10-10","L010","Velocity Haul","5060.67","5798.01","737.34","14.57"
"SH001463","2024-12-10","L010","Titan Logistics","6071.18","6796.74","725.56","11.95"
"SH000616","2024-07-03","L006","Apex Freight","5821.05","6538.45","717.40","12.32"
"SH000106","2024-04-23","L006","Velocity Haul","6213.27","6919.35","706.08","11.36"
"SH003062","2025-10-29","L006","Velocity Haul","5952.79","6643.56","690.77","11.60"
"SH003378","2025-12-20","L006","Velocity Haul","6215.92","6894.34","678.42","10.91"
"SH001163","2024-11-17","L001","Velocity Haul","3248.48","3892.96","644.48","19.84"
"SH000384","2024-06-21","L002","Velocity Haul","3496.89","4135.18","638.29","18.25"
"SH001093","2024-10-02","L006","Apex Freight","5820.49","6458.50","638.01","10.96"
