"lane_id","carrier_id","carrier_name","total_shipments","otif_rate_pct"
"L001","C04","Velocity Haul","98","92.86"
"L001","C02","Titan Logistics","168","92.86"
"L001","C03","BlueRoute Transport","154","94.16"
"L001","C01","Apex Freight","122","94.26"
"L002","C02","Titan Logistics","128","92.19"
"L002","C04","Velocity Haul","108","92.59"
"L002","C01","Apex Freight","149","95.30"
"L002","C03","BlueRoute Transport","123","96.75"
"L003","C04","Velocity Haul","67","95.52"
"L003","C02","Titan Logistics","93","96.77"
"L003","C01","Apex Freight","107","97.20"
"L003","C03","BlueRoute Transport","84","97.62"
"L004","C03","BlueRoute Transport","92","93.48"
"L004","C04","Velocity Haul","57","94.74"
"L004","C01","Apex Freight","106","95.28"
"L004","C02","Titan Logistics","95","97.89"
"L005","C04","Velocity Haul","60","91.67"
"L005","C02","Titan Logistics","119","93.28"
"L005","C03","BlueRoute Transport","123","95.12"
"L005","C01","Apex Freight","117","95.73"
"L006","C04","Velocity Haul","23","82.61"
"L006","C03","BlueRoute Transport","29","86.21"
"L006","C02","Titan Logistics","43","90.70"
"L006","C01","Apex Freight","39","92.31"
"L007","C04","Velocity Haul","65","89.23"
"L007","C01","Apex Freight","79","89.87"
"L007","C03","BlueRoute Transport","83","93.98"
"L007","C02","Titan Logistics","101","94.06"
"L008","C04","Velocity Haul","51","96.08"
"L008","C03","BlueRoute Transport","75","98.67"
"L008","C02","Titan Logistics","89","98.88"
"L008","C01","Apex Freight","64","100.00"
"L009","C01","Apex Freight","94","91.49"
"L009","C03","BlueRoute Transport","102","92.16"
"L009","C02","Titan Logistics","115","92.17"
"L009","C04","Velocity Haul","68","98.53"
"L010","C04","Velocity Haul","28","78.57"
"L010","C02","Titan Logistics","41","82.93"
"L010","C03","BlueRoute Transport","42","88.10"
"L010","C01","Apex Freight","48","93.75"
"L011","C04","Velocity Haul","45","88.89"
"L011","C02","Titan Logistics","102","93.14"
"L011","C03","BlueRoute Transport","81","93.83"
"L011","C01","Apex Freight","76","94.74"
"L012","C01","Apex Freight","54","88.89"
"L012","C03","BlueRoute Transport","39","92.31"
"L012","C02","Titan Logistics","60","93.33"
"L012","C04","Velocity Haul","21","95.24"
