"lane_id","carrier_id","carrier_name","total_shipments","exception_shipments","exception_rate_pct"
"L010","C02","Titan Logistics","41","8","19.51"
"L006","C04","Velocity Haul","23","3","13.04"
"L009","C04","Velocity Haul","68","8","11.76"
"L011","C03","BlueRoute Transport","81","9","11.11"
"L010","C04","Velocity Haul","28","3","10.71"
"L006","C01","Apex Freight","39","4","10.26"
"L012","C04","Velocity Haul","21","2","9.52"
"L008","C03","BlueRoute Transport","75","7","9.33"
"L012","C01","Apex Freight","54","5","9.26"
"L004","C04","Velocity Haul","57","5","8.77"
"L004","C03","BlueRoute Transport","92","8","8.70"
"L005","C02","Titan Logistics","119","10","8.40"
"L005","C04","Velocity Haul","60","5","8.33"
"L010","C01","Apex Freight","48","4","8.33"
"L001","C02","Titan Logistics","168","14","8.33"
"L001","C01","Apex Freight","122","10","8.20"
"L002","C02","Titan Logistics","128","10","7.81"
"L007","C04","Velocity Haul","65","5","7.69"
"L005","C01","Apex Freight","117","9","7.69"
"L007","C01","Apex Freight","79","6","7.59"
"L005","C03","BlueRoute Transport","123","9","7.32"
"L010","C03","BlueRoute Transport","42","3","7.14"
"L006","C02","Titan Logistics","43","3","6.98"
"L009","C02","Titan Logistics","115","8","6.96"
"L006","C03","BlueRoute Transport","29","2","6.90"
"L004","C01","Apex Freight","106","7","6.60"
"L011","C01","Apex Freight","76","5","6.58"
"L003","C01","Apex Freight","107","7","6.54"
"L002","C04","Velocity Haul","108","7","6.48"
"L009","C01","Apex Freight","94","6","6.38"
"L008","C01","Apex Freight","64","4","6.25"
"L003","C04","Velocity Haul","67","4","5.97"
"L001","C03","BlueRoute Transport","154","9","5.84"
"L002","C03","BlueRoute Transport","123","7","5.69"
"L003","C02","Titan Logistics","93","5","5.38"
"L002","C01","Apex Freight","149","8","5.37"
"L012","C02","Titan Logistics","60","3","5.00"
"L011","C02","Titan Logistics","102","5","4.90"
"L009","C03","BlueRoute Transport","102","5","4.90"
"L007","C03","BlueRoute Transport","83","4","4.82"
"L011","C04","Velocity Haul","45","2","4.44"
"L004","C02","Titan Logistics","95","4","4.21"
"L007","C02","Titan Logistics","101","4","3.96"
"L008","C04","Velocity Haul","51","2","3.92"
"L008","C02","Titan Logistics","89","3","3.37"
"L001","C04","Velocity Haul","98","2","2.04"
"L003","C03","BlueRoute Transport","84","1","1.19"
"L012","C03","BlueRoute Transport","39","0","0.00"
