"lane_id","carrier_id","carrier_name","total_shipments","exception_shipments","exception_rate_pct"
"L010","C04","Velocity Haul","30","10","33.33"
"L011","C04","Velocity Haul","55","14","25.45"
"L012","C01","Apex Freight","51","10","19.61"
"L012","C04","Velocity Haul","36","7","19.44"
"L006","C04","Velocity Haul","29","5","17.24"
"L006","C01","Apex Freight","31","5","16.13"
"L011","C01","Apex Freight","88","12","13.64"
"L004","C04","Velocity Haul","67","9","13.43"
"L001","C04","Velocity Haul","101","13","12.87"
"L007","C02","Titan Logistics","102","13","12.75"
"L005","C01","Apex Freight","110","14","12.73"
"L007","C04","Velocity Haul","65","8","12.31"
"L006","C02","Titan Logistics","41","5","12.20"
"L012","C03","BlueRoute Transport","51","6","11.76"
"L009","C03","BlueRoute Transport","82","9","10.98"
"L009","C04","Velocity Haul","78","8","10.26"
"L012","C02","Titan Logistics","50","5","10.00"
"L002","C04","Velocity Haul","85","8","9.41"
"L001","C02","Titan Logistics","163","15","9.20"
"L010","C02","Titan Logistics","45","4","8.89"
"L010","C01","Apex Freight","34","3","8.82"
"L007","C01","Apex Freight","91","8","8.79"
"L001","C01","Apex Freight","148","13","8.78"
"L010","C03","BlueRoute Transport","46","4","8.70"
"L005","C03","BlueRoute Transport","115","10","8.70"
"L004","C03","BlueRoute Transport","108","9","8.33"
"L009","C02","Titan Logistics","136","11","8.09"
"L004","C02","Titan Logistics","112","9","8.04"
"L006","C03","BlueRoute Transport","27","2","7.41"
"L001","C03","BlueRoute Transport","145","10","6.90"
"L007","C03","BlueRoute Transport","102","7","6.86"
"L008","C01","Apex Freight","73","5","6.85"
"L005","C04","Velocity Haul","76","5","6.58"
"L011","C03","BlueRoute Transport","81","5","6.17"
"L002","C01","Apex Freight","136","8","5.88"
"L003","C01","Apex Freight","85","5","5.88"
"L009","C01","Apex Freight","104","6","5.77"
"L008","C04","Velocity Haul","53","3","5.66"
"L002","C03","BlueRoute Transport","142","8","5.63"
"L003","C04","Velocity Haul","54","3","5.56"
"L011","C02","Titan Logistics","75","4","5.33"
"L005","C02","Titan Logistics","134","6","4.48"
"L008","C03","BlueRoute Transport","67","3","4.48"
"L004","C01","Apex Freight","92","4","4.35"
"L003","C02","Titan Logistics","98","4","4.08"
"L008","C02","Titan Logistics","75","3","4.00"
"L002","C02","Titan Logistics","139","5","3.60"
"L003","C03","BlueRoute Transport","72","1","1.39"
