"lane_id","carrier_id","carrier_name","total_shipments","avg_cost_per_shipment","avg_quoted_per_shipment"
"L001","C02","Titan Logistics","163","3524.23","3490.16"
"L001","C03","BlueRoute Transport","145","3228.70","3187.06"
"L001","C04","Velocity Haul","101","3156.38","3106.15"
"L001","C01","Apex Freight","148","3021.10","2992.06"
"L002","C02","Titan Logistics","139","4021.20","4006.11"
"L002","C03","BlueRoute Transport","142","3700.46","3655.08"
"L002","C04","Velocity Haul","85","3589.91","3551.18"
"L002","C01","Apex Freight","136","3485.89","3411.53"
"L003","C02","Titan Logistics","98","676.42","672.78"
"L003","C03","BlueRoute Transport","72","614.28","615.74"
"L003","C04","Velocity Haul","54","613.79","602.25"
"L003","C01","Apex Freight","85","581.36","575.79"
"L004","C02","Titan Logistics","112","1974.22","1966.85"
"L004","C03","BlueRoute Transport","108","1809.01","1785.88"
"L004","C04","Velocity Haul","67","1782.90","1750.35"
"L004","C01","Apex Freight","92","1690.83","1672.72"
"L005","C02","Titan Logistics","134","2598.37","2575.76"
"L005","C04","Velocity Haul","76","2375.62","2290.27"
"L005","C03","BlueRoute Transport","115","2363.48","2345.32"
"L005","C01","Apex Freight","110","2228.67","2190.84"
"L006","C02","Titan Logistics","41","6788.38","6723.12"
"L006","C04","Velocity Haul","29","6205.98","5932.20"
"L006","C03","BlueRoute Transport","27","6057.93","6018.35"
"L006","C01","Apex Freight","31","5867.58","5715.98"
"L007","C02","Titan Logistics","102","2314.18","2289.95"
"L007","C04","Velocity Haul","65","2102.84","2034.28"
"L007","C03","BlueRoute Transport","102","2088.21","2083.09"
"L007","C01","Apex Freight","91","1955.25","1953.59"
"L008","C02","Titan Logistics","75","1205.40","1193.18"
"L008","C03","BlueRoute Transport","67","1092.88","1073.65"
"L008","C04","Velocity Haul","53","1053.67","1062.94"
"L008","C01","Apex Freight","73","1039.17","1019.92"
"L009","C02","Titan Logistics","136","2488.54","2478.35"
"L009","C03","BlueRoute Transport","82","2258.15","2233.98"
"L009","C04","Velocity Haul","78","2257.56","2201.31"
"L009","C01","Apex Freight","104","2151.17","2115.24"
"L010","C02","Titan Logistics","45","6022.34","5979.65"
"L010","C04","Velocity Haul","30","5635.01","5315.28"
"L010","C03","BlueRoute Transport","46","5537.39","5418.57"
"L010","C01","Apex Freight","34","5350.16","5091.84"
"L011","C02","Titan Logistics","75","3632.99","3617.85"
"L011","C03","BlueRoute Transport","81","3366.03","3294.19"
"L011","C04","Velocity Haul","55","3267.46","3202.95"
"L011","C01","Apex Freight","88","3167.96","3115.91"
"L012","C02","Titan Logistics","50","2666.92","2669.83"
"L012","C04","Velocity Haul","36","2483.27","2376.33"
"L012","C03","BlueRoute Transport","51","2456.05","2442.68"
"L012","C01","Apex Freight","51","2323.55","2272.17"
