"lane_id","carrier_id","carrier_name","distance_miles","total_shipments","avg_cost_per_mile"
"L001","C02","Titan Logistics",1200,"168","2.91"
"L001","C04","Velocity Haul",1200,"98","2.66"
"L001","C03","BlueRoute Transport",1200,"154","2.64"
"L001","C01","Apex Freight",1200,"122","2.50"
"L002","C02","Titan Logistics",1350,"128","2.98"
"L002","C03","BlueRoute Transport",1350,"123","2.72"
"L002","C04","Velocity Haul",1350,"108","2.66"
"L002","C01","Apex Freight",1350,"149","2.54"
"L003","C02","Titan Logistics",250,"93","2.65"
"L003","C03","BlueRoute Transport",250,"84","2.47"
"L003","C04","Velocity Haul",250,"67","2.40"
"L003","C01","Apex Freight",250,"107","2.31"
"L004","C02","Titan Logistics",700,"95","2.82"
"L004","C03","BlueRoute Transport",700,"92","2.57"
"L004","C04","Velocity Haul",700,"57","2.55"
"L004","C01","Apex Freight",700,"106","2.41"
"L005","C02","Titan Logistics",900,"119","2.88"
"L005","C03","BlueRoute Transport",900,"123","2.62"
"L005","C04","Velocity Haul",900,"60","2.59"
"L005","C01","Apex Freight",900,"117","2.45"
"L006","C02","Titan Logistics",1900,"43","3.57"
"L006","C03","BlueRoute Transport",1900,"29","3.24"
"L006","C04","Velocity Haul",1900,"23","3.17"
"L006","C01","Apex Freight",1900,"39","3.03"
"L007","C02","Titan Logistics",800,"101","2.89"
"L007","C03","BlueRoute Transport",800,"83","2.60"
"L007","C04","Velocity Haul",800,"65","2.57"
"L007","C01","Apex Freight",800,"79","2.43"
"L008","C02","Titan Logistics",450,"89","2.62"
"L008","C03","BlueRoute Transport",450,"75","2.43"
"L008","C04","Velocity Haul",450,"51","2.38"
"L008","C01","Apex Freight",450,"64","2.29"
"L009","C02","Titan Logistics",850,"115","2.89"
"L009","C03","BlueRoute Transport",850,"102","2.64"
"L009","C04","Velocity Haul",850,"68","2.59"
"L009","C01","Apex Freight",850,"94","2.48"
"L010","C02","Titan Logistics",1750,"41","3.44"
"L010","C04","Velocity Haul",1750,"28","3.07"
"L010","C03","BlueRoute Transport",1750,"42","3.07"
"L010","C01","Apex Freight",1750,"48","2.91"
"L011","C02","Titan Logistics",1200,"102","3.01"
"L011","C03","BlueRoute Transport",1200,"81","2.76"
"L011","C04","Velocity Haul",1200,"45","2.62"
"L011","C01","Apex Freight",1200,"76","2.62"
"L012","C02","Titan Logistics",900,"60","2.97"
"L012","C03","BlueRoute Transport",900,"39","2.69"
"L012","C04","Velocity Haul",900,"21","2.68"
"L012","C01","Apex Freight",900,"54","2.59"
