"lane_id","carrier_id","carrier_name","distance_miles","total_shipments","avg_cost_per_mile"
"L001","C02","Titan Logistics",1200,"163","2.94"
"L001","C03","BlueRoute Transport",1200,"145","2.69"
"L001","C04","Velocity Haul",1200,"101","2.63"
"L001","C01","Apex Freight",1200,"148","2.52"
"L002","C02","Titan Logistics",1350,"139","2.98"
"L002","C03","BlueRoute Transport",1350,"142","2.74"
"L002","C04","Velocity Haul",1350,"85","2.66"
"L002","C01","Apex Freight",1350,"136","2.58"
"L003","C02","Titan Logistics",250,"98","2.71"
"L003","C04","Velocity Haul",250,"54","2.46"
"L003","C03","BlueRoute Transport",250,"72","2.46"
"L003","C01","Apex Freight",250,"85","2.33"
"L004","C02","Titan Logistics",700,"112","2.82"
"L004","C03","BlueRoute Transport",700,"108","2.58"
"L004","C04","Velocity Haul",700,"67","2.55"
"L004","C01","Apex Freight",700,"92","2.42"
"L005","C02","Titan Logistics",900,"134","2.89"
"L005","C04","Velocity Haul",900,"76","2.64"
"L005","C03","BlueRoute Transport",900,"115","2.63"
"L005","C01","Apex Freight",900,"110","2.48"
"L006","C02","Titan Logistics",1900,"41","3.57"
"L006","C04","Velocity Haul",1900,"29","3.27"
"L006","C03","BlueRoute Transport",1900,"27","3.19"
"L006","C01","Apex Freight",1900,"31","3.09"
"L007","C02","Titan Logistics",800,"102","2.89"
"L007","C04","Velocity Haul",800,"65","2.63"
"L007","C03","BlueRoute Transport",800,"102","2.61"
"L007","C01","Apex Freight",800,"91","2.44"
"L008","C02","Titan Logistics",450,"75","2.68"
"L008","C03","BlueRoute Transport",450,"67","2.43"
"L008","C04","Velocity Haul",450,"53","2.34"
"L008","C01","Apex Freight",450,"73","2.31"
"L009","C02","Titan Logistics",850,"136","2.93"
"L009","C04","Velocity Haul",850,"78","2.66"
"L009","C03","BlueRoute Transport",850,"82","2.66"
"L009","C01","Apex Freight",850,"104","2.53"
"L010","C02","Titan Logistics",1750,"45","3.44"
"L010","C04","Velocity Haul",1750,"30","3.22"
"L010","C03","BlueRoute Transport",1750,"46","3.16"
"L010","C01","Apex Freight",1750,"34","3.06"
"L011","C02","Titan Logistics",1200,"75","3.03"
"L011","C03","BlueRoute Transport",1200,"81","2.81"
"L011","C04","Velocity Haul",1200,"55","2.72"
"L011","C01","Apex Freight",1200,"88","2.64"
"L012","C02","Titan Logistics",900,"50","2.96"
"L012","C04","Velocity Haul",900,"36","2.76"
"L012","C03","BlueRoute Transport",900,"51","2.73"
"L012","C01","Apex Freight",900,"51","2.58"
