"lane_id","carrier_id","carrier_name","total_shipments","avg_cost_per_shipment","avg_quoted_per_shipment"
"L001","C02","Titan Logistics","168","3496.93","3508.24"
"L001","C04","Velocity Haul","98","3186.53","3116.78"
"L001","C03","BlueRoute Transport","154","3171.48","3188.81"
"L001","C01","Apex Freight","122","3001.30","2992.77"
"L002","C02","Titan Logistics","128","4024.97","4013.44"
"L002","C03","BlueRoute Transport","123","3668.73","3632.65"
"L002","C04","Velocity Haul","108","3589.75","3571.81"
"L002","C01","Apex Freight","149","3427.57","3422.68"
"L003","C02","Titan Logistics","93","662.53","670.67"
"L003","C03","BlueRoute Transport","84","616.44","615.82"
"L003","C04","Velocity Haul","67","599.91","597.68"
"L003","C01","Apex Freight","107","576.41","574.54"
"L004","C02","Titan Logistics","95","1970.60","1964.90"
"L004","C03","BlueRoute Transport","92","1798.03","1795.65"
"L004","C04","Velocity Haul","57","1786.49","1758.03"
"L004","C01","Apex Freight","106","1688.88","1676.65"
"L005","C02","Titan Logistics","119","2591.85","2579.39"
"L005","C03","BlueRoute Transport","123","2354.91","2332.43"
"L005","C04","Velocity Haul","60","2333.80","2290.38"
"L005","C01","Apex Freight","117","2205.18","2202.67"
"L006","C02","Titan Logistics","43","6790.88","6734.85"
"L006","C03","BlueRoute Transport","29","6162.51","6147.96"
"L006","C04","Velocity Haul","23","6017.33","6010.41"
"L006","C01","Apex Freight","39","5761.67","5751.53"
"L007","C02","Titan Logistics","101","2312.32","2293.30"
"L007","C03","BlueRoute Transport","83","2080.26","2075.57"
"L007","C04","Velocity Haul","65","2056.45","2024.26"
"L007","C01","Apex Freight","79","1945.03","1944.66"
"L008","C02","Titan Logistics","89","1180.69","1183.46"
"L008","C03","BlueRoute Transport","75","1095.07","1083.81"
"L008","C04","Velocity Haul","51","1072.05","1060.31"
"L008","C01","Apex Freight","64","1029.22","1009.63"
"L009","C02","Titan Logistics","115","2460.17","2465.43"
"L009","C03","BlueRoute Transport","102","2240.94","2250.40"
"L009","C04","Velocity Haul","68","2201.55","2205.92"
"L009","C01","Apex Freight","94","2109.76","2112.48"
"L010","C02","Titan Logistics","41","6021.56","5969.57"
"L010","C03","BlueRoute Transport","42","5375.40","5422.98"
"L010","C04","Velocity Haul","28","5368.10","5325.53"
"L010","C01","Apex Freight","48","5092.74","5135.97"
"L011","C02","Titan Logistics","102","3607.80","3638.69"
"L011","C03","BlueRoute Transport","81","3312.53","3297.75"
"L011","C04","Velocity Haul","45","3145.13","3222.04"
"L011","C01","Apex Freight","76","3144.00","3099.43"
"L012","C02","Titan Logistics","60","2672.74","2673.16"
"L012","C03","BlueRoute Transport","39","2419.07","2425.34"
"L012","C04","Velocity Haul","21","2412.94","2383.15"
"L012","C01","Apex Freight","54","2328.30","2292.92"
