"lane_id","carrier_id","carrier_name","total_shipments","otif_rate_pct"
"L001","C04","Velocity Haul","101","80.20"
"L001","C01","Apex Freight","148","91.22"
"L001","C03","BlueRoute Transport","145","92.41"
"L001","C02","Titan Logistics","163","96.93"
"L002","C04","Velocity Haul","85","83.53"
"L002","C01","Apex Freight","136","88.97"
"L002","C03","BlueRoute Transport","142","93.66"
"L002","C02","Titan Logistics","139","95.68"
"L003","C01","Apex Freight","85","94.12"
"L003","C04","Velocity Haul","54","96.30"
"L003","C02","Titan Logistics","98","96.94"
"L003","C03","BlueRoute Transport","72","98.61"
"L004","C04","Velocity Haul","67","85.07"
"L004","C01","Apex Freight","92","93.48"
"L004","C03","BlueRoute Transport","108","98.15"
"L004","C02","Titan Logistics","112","99.11"
"L005","C04","Velocity Haul","76","85.53"
"L005","C01","Apex Freight","110","86.36"
"L005","C03","BlueRoute Transport","115","93.04"
"L005","C02","Titan Logistics","134","98.51"
"L006","C01","Apex Freight","31","61.29"
"L006","C04","Velocity Haul","29","68.97"
"L006","C02","Titan Logistics","41","82.93"
"L006","C03","BlueRoute Transport","27","85.19"
"L007","C04","Velocity Haul","65","76.92"
"L007","C01","Apex Freight","91","91.21"
"L007","C03","BlueRoute Transport","102","97.06"
"L007","C02","Titan Logistics","102","98.04"
"L008","C01","Apex Freight","73","90.41"
"L008","C04","Velocity Haul","53","96.23"
"L008","C03","BlueRoute Transport","67","97.01"
"L008","C02","Titan Logistics","75","98.67"
"L009","C04","Velocity Haul","78","82.05"
"L009","C01","Apex Freight","104","92.31"
"L009","C03","BlueRoute Transport","82","93.90"
"L009","C02","Titan Logistics","136","97.79"
"L010","C04","Velocity Haul","30","36.67"
"L010","C01","Apex Freight","34","73.53"
"L010","C03","BlueRoute Transport","46","84.78"
"L010","C02","Titan Logistics","45","86.67"
"L011","C01","Apex Freight","88","79.55"
"L011","C04","Velocity Haul","55","81.82"
"L011","C03","BlueRoute Transport","81","92.59"
"L011","C02","Titan Logistics","75","94.67"
"L012","C04","Velocity Haul","36","63.89"
"L012","C01","Apex Freight","51","78.43"
"L012","C02","Titan Logistics","50","94.00"
"L012","C03","BlueRoute Transport","51","94.12"
